ban,tipo_cliente,canal_contato,tentativas_contato,texto,urgencia,valor_mensalidade,dias_atraso,valor_total_divida,historico_pagamento,estado,data_chamado
000009360,Premium,Telefone,2,proposta de pagamento.,Média,53.73,47,231.29,bom,MG,2024-10-10T11:17:00.611434
000002137,Pessoa Física,Chat,1,consulta de valores,Baixa,109.6,13,498.91,bom,RJ,2024-10-26T01:20:05.020915
000001567,Pessoa Física,Chat,3,preciso de informação.,Baixa,168.46,16,262.63,regular,SC,2025-08-28T03:15:08.598603
000008626,Pessoa Física,Telefone,4,preciso de um desconto.,Média,118.08,59,142.6,regular,SP,2025-03-13T11:12:03.220423
000003565,Pessoa Física,Redes Sociais,4,ajuda temporária. por favor,Média,131.92,77,300.45,regular,MG,2024-11-18T13:08:38.910730
000005507,Pessoa Física,Chat,2,dúvida sobre a fatura.,Baixa,93.14,23,358.77,bom,SP,2025-08-29T01:53:04.570702
000004740,Pessoa Física,Físico,2,quero negociar.,Média,93.06,58,281.94,bom,RO,2025-08-01T10:07:31.934419
000003226,Pessoa Jurídica,Telefone,2,quero negociar.,Média,155.25,17,458.35,ruim,MG,2025-01-31T14:28:30.389077
000006373,Pessoa Física,Telefone,1,segunda via do boleto. por favor,Baixa,169.29,9,272.5,bom,RJ,2024-10-18T02:27:14.469708
000006253,Pessoa Física,Redes Sociais,2,preciso de informação,Baixa,164.43,9,395.59,bom,CE,2025-03-19T21:09:33.050956
000006920,Pessoa Jurídica,Email,2,consulta de valores.,Baixa,144.66,17,699.51,bom,SP,2024-12-02T20:44:29.110712
000005321,Pessoa Física,Telefone,3,segunda via do boleto. muito obrigado,Baixa,133.11,20,314.44,bom,CE,2025-04-30T02:43:10.187872
000005511,Pessoa Jurídica,Chat,2,dúvida sobre a fatura.,Baixa,62.6,13,210.69,regular,PR,2025-07-29T14:53:07.291208
000001423,Pessoa Física,Telefone,4,quero negociar.,Média,97.28,43,119.98,bom,RJ,2025-02-23T18:39:07.324565
000001479,Pessoa Física,Telefone,4,dúvida sobre a fatura. muito obrigado,Baixa,91.45,12,114.81,bom,PR,2024-10-13T06:37:22.936885
000000314,Pessoa Física,Email,1,consulta de valores.,Baixa,122.86,8,331.36,regular,RR,2025-06-09T01:04:07.645723
000009556,Pessoa Física,Chat,4,ajuda temporária. aguardo uma resposta,Média,151.14,2,516.36,ruim,ES,2024-12-04T14:58:29.562640
000001342,Pessoa Física,Email,3,quero negociar. por favor,Média,106.51,70,265.14,bom,RO,2024-12-19T22:20:17.471044
000007826,Pessoa Física,Chat,2,preciso de um desconto.,Média,20.27,35,34.78,bom,AL,2024-12-09T20:42:36.287489
000005194,Pessoa Física,Email,4,consulta de valores.,Baixa,170.49,20,672.38,bom,AM,2025-01-12T17:19:34.287834
000003346,Pessoa Física,Chat,1,proposta de pagamento.,Média,84.1,36,131.21,regular,MG,2025-08-21T04:04:09.597803
000004686,Pessoa Física,Chat,3,preciso de um desconto.,Média,86.31,34,316.94,bom,SC,2024-10-15T03:55:01.348382
000007068,Pessoa Física,Chat,4,renegociar valores.,Média,145.79,54,703.72,bom,BA,2025-05-16T15:44:28.889321
000005900,Pessoa Física,Telefone,4,preciso de informação.,Baixa,99.36,11,286.37,bom,BA,2024-12-31T06:40:43.391460
000000596,Pessoa Física,Chat,2,preciso de informação.,Baixa,120.96,17,217.94,regular,PB,2025-01-18T07:00:33.721019
000002860,Pessoa Física,Email,4,segunda via do boleto.,Baixa,133.32,4,582.33,bom,RJ,2025-03-01T23:36:47.288146
000000105,Pessoa Física,Telefone,4,preciso de um desconto.,Média,125.99,67,380.73,ruim,MG,2025-04-21T15:23:34.826034
000000700,Pessoa Física,Telefone,4,não consigo pagar.,Alta,109.97,84,516.08,bom,PI,2024-10-24T18:42:58.379839
000001115,Pessoa Física,Redes Sociais,3,proposta de pagamento.,Média,124.97,32,485.18,regular,SC,2025-01-12T16:38:14.974751
000004919,Pessoa Jurídica,Telefone,2,proposta de pagamento. por favor,Média,212.99,13,579.85,ruim,SP,2024-11-21T15:09:58.762328
000005867,Governo,Email,1,quero negociar.,Média,171.82,15,596.14,ruim,SP,2024-12-14T08:35:15.348116
000001116,Pessoa Física,Chat,2,preciso de informação.,Baixa,158.42,13,266.12,bom,PE,2025-08-21T14:50:23.906247
000003668,Pessoa Física,Email,3,segunda via do boleto.,Baixa,139.22,8,354.86,bom,AM,2025-04-12T13:20:53.421372
000007143,Pessoa Física,Telefone,2,preciso de um desconto.,Média,187.66,16,633.44,ruim,MA,2025-05-20T21:13:47.728984
000004963,Pessoa Física,Email,1,preciso de informação. muito obrigado,Baixa,158.69,3,533.22,bom,BA,2025-07-22T11:48:04.415635
000006379,Pessoa Física,Telefone,5,preciso de ajuda. o mais rápido possível,Alta,175.75,95,588.56,ruim,RJ,2025-07-19T19:37:11.092026
000002768,Pessoa Física,Telefone,4,consulta de valores.,Baixa,177.16,12,704.06,regular,MA,2025-09-28T21:03:46.700032
000001368,Pessoa Física,Telefone,4,ajuda temporária. muito obrigado,Média,150.8,53,214.53,ruim,DF,2025-07-15T02:16:27.428579
000009001,Pessoa Física,Chat,2,como posso pagar. muito obrigado,Baixa,144.9,27,187.59,regular,PR,2025-02-10T16:04:44.044547
000006107,Pessoa Física,Email,1,proposta de pagamento. muito obrigado,Média,110.67,8,176.2,ruim,SP,2025-04-19T09:18:02.652316
000006015,Pessoa Física,Telefone,4,segunda via do boleto.,Baixa,201.07,6,838.38,bom,PE,2025-03-28T12:46:20.566662
000009350,Pessoa Física,Email,3,preciso de um desconto.,Média,121.18,108,152.62,bom,SP,2025-08-31T20:29:45.666062
000001392,Pessoa Física,Chat,4,preciso de informação,Baixa,78.69,30,149.59,bom,CE,2025-04-04T00:02:49.333375
000006388,Pessoa Jurídica,Email,4,segunda via do boleto.,Baixa,137.9,7,278.43,bom,SP,2025-02-21T08:38:43.348927
000005353,Pessoa Física,Chat,2,consulta de valores.,Baixa,115.29,3,413.78,bom,RS,2024-12-07T04:24:40.054893
000005653,Pessoa Física,Telefone,2,renegociar valores.,Média,82.44,25,214.88,ruim,CE,2025-01-26T23:23:33.208535
000009090,Pessoa Jurídica,Chat,4,consulta de valores.,Baixa,84.77,9,152.24,regular,PR,2024-12-21T12:04:00.253693
000006060,Pessoa Física,Email,1,preciso de informação. o mais rápido possível,Baixa,124.17,6,347.45,regular,AM,2025-08-25T16:14:50.731501
000002034,Pessoa Física,Telefone,3,consulta de valores. por favor,Baixa,126.61,27,473.75,bom,BA,2025-07-13T20:40:05.009776
000004735,Pessoa Física,Telefone,2,ajuda temporária.,Média,65.57,24,271.74,ruim,SP,2024-10-23T21:47:05.985802
000002987,Pessoa Jurídica,Chat,1,dúvida sobre a fatura.,Baixa,106.25,14,158.9,bom,PR,2025-09-29T15:42:50.209229
000000758,Pessoa Física,Telefone,4,renegociar valores.,Média,160.1,57,617.8,bom,SE,2025-04-13T21:03:53.067428
000008399,Pessoa Física,Telefone,1,como posso pagar.,Baixa,17.96,24,18.28,regular,RN,2025-07-09T14:08:33.863453
000008959,Pessoa Física,Email,1,proposta de pagamento.,Média,110.29,45,429.83,ruim,MG,2025-10-02T14:29:32.656209
000001967,Pessoa Física,Telefone,2,dúvida sobre a fatura. o mais rápido possível,Baixa,121.26,6,441.87,bom,RJ,2025-09-23T05:51:43.366041
000002976,Pessoa Física,Telefone,3,segunda via do boleto.,Baixa,146.45,8,420.99,regular,PR,2024-11-08T01:56:30.846868
000000823,Pessoa Física,Telefone,3,dúvida sobre a fatura.,Baixa,111.65,4,172.78,bom,CE,2025-05-30T10:06:15.133162
000004052,Pessoa Física,Chat,2,dúvida sobre a fatura.,Baixa,104.51,9,424.12,bom,PI,2025-01-07T20:30:00.209502
000005751,Pessoa Física,Telefone,3,preciso de um desconto.,Média,144.44,71,185.9,ruim,CE,2025-07-27T15:32:53.345604
000006638,Pessoa Física,Email,5,urgente. muito obrigado,Alta,117.95,66,540.48,regular,ES,2025-09-02T12:39:53.334972
000004346,Pessoa Física,Chat,1,dúvida sobre a fatura.,Baixa,190.71,29,780.74,bom,PA,2024-10-22T22:16:12.692851
000000919,Pessoa Física,Chat,4,segunda via do boleto.,Baixa,144.87,16,574.24,bom,SP,2025-10-01T10:19:18.827218
000003679,Pessoa Física,Telefone,1,preciso de um desconto. muito obrigado,Média,152.57,31,612.96,bom,RN,2024-12-21T15:29:51.496130
000000036,Pessoa Física,Chat,2,como posso pagar.,Baixa,123.02,17,156.27,regular,RJ,2025-08-07T16:26:55.662464
000001937,Pessoa Física,Telefone,2,ajuda temporária.,Média,195.21,2,968.2,ruim,MG,2025-07-20T17:55:25.410491
000005734,Pessoa Jurídica,Chat,1,como posso pagar.,Baixa,97.6,15,432.8,regular,ES,2025-02-09T02:19:14.184549
000003438,Pessoa Física,Chat,1,como posso pagar.,Baixa,74.04,19,224.47,regular,TO,2025-08-05T00:36:33.061343
000006229,Pessoa Física,Chat,4,consulta de valores,Baixa,116.25,8,450.77,bom,MG,2025-08-07T05:11:30.877655
000007498,Pessoa Física,Telefone,1,parcelamento da dívida.,Média,109.5,6,433.29,ruim,BA,2024-12-05T19:50:30.809225
000007043,Pessoa Física,Telefone,3,segunda via do boleto. muito obrigado,Baixa,114.47,8,494.41,bom,PR,2025-05-06T22:04:19.726087
000004713,Pessoa Jurídica,Email,3,preciso de informação. por favor,Baixa,199.1,21,402.48,bom,PR,2025-07-23T23:14:01.242167
000000255,Pessoa Jurídica,Email,4,preciso de informação. muito obrigado,Baixa,88.36,5,219.86,bom,GO,2025-06-14T07:24:55.294099
000002585,Pessoa Física,Email,2,segunda via do boleto. muito obrigado,Baixa,117.55,26,493.56,bom,AM,2025-09-01T07:55:03.699563
000007840,Pessoa Física,Telefone,2,renegociar valores.,Média,54.68,12,222.87,ruim,AP,2024-10-12T19:26:25.274346
000009651,Pessoa Física,Telefone,2,consulta de valores. muito obrigado,Baixa,195.72,10,604.87,bom,AM,2025-06-15T09:08:10.323309
000005901,Pessoa Física,Email,1,renegociar valores. o mais rápido possível,Média,27.05,34,69.92,regular,MG,2025-09-13T14:15:38.847098
000002609,Pessoa Física,Chat,2,segunda via do boleto.,Baixa,125.78,15,613.02,bom,MG,2025-04-26T08:37:39.111305
000001310,Pessoa Física,Chat,1,como posso pagar.,Baixa,66.35,11,176.5,bom,CE,2025-04-26T04:15:56.608249
000002128,Pessoa Física,Chat,4,parcelamento da dívida.,Média,64.32,43,260.88,regular,PA,2024-12-10T06:11:58.069728
000009964,Pessoa Física,Redes Sociais,2,quero negociar.,Média,84.66,10,224.4,ruim,SP,2025-09-28T08:48:49.148100
000006992,Pessoa Física,Telefone,1,ajuda temporária. aguardo uma resposta,Média,75.89,40,169.94,bom,MG,2025-08-20T12:18:48.289935
000001580,Pessoa Física,Telefone,3,como posso pagar. muito obrigado,Baixa,130.77,15,466.06,regular,RJ,2025-03-31T06:55:46.778112
000008187,Pessoa Física,Chat,1,ajuda temporária,Média,69.0,6,291.9,ruim,RS,2025-01-23T09:16:24.207865
000008241,Pessoa Física,Chat,1,ajuda temporária.,Média,161.61,20,796.01,ruim,SP,2025-03-30T15:14:10.634748
000007572,Pessoa Física,Chat,3,como posso pagar. por favor,Baixa,173.31,8,276.54,bom,PE,2024-11-04T11:21:46.213336
000008242,Pessoa Física,Telefone,4,consulta de valores. muito obrigado,Baixa,186.17,5,838.59,bom,PR,2024-12-26T11:18:31.898466
000006610,Pessoa Jurídica,Chat,2,consulta de valores.,Baixa,58.79,3,182.05,regular,BA,2024-12-21T10:12:54.007401
000008404,Pessoa Física,Chat,3,dúvida sobre a fatura,Baixa,88.71,7,126.94,regular,CE,2025-04-12T18:54:34.778577
000003068,Pessoa Jurídica,Telefone,1,consulta de valores. muito obrigado,Baixa,100.74,28,420.84,bom,BA,2024-10-02T18:10:46.914942
000000529,Pessoa Física,Chat,2,renegociar valores.,Média,97.4,37,226.57,bom,BA,2025-09-02T18:14:45.614505
000006536,Pessoa Física,Chat,2,ajuda temporária.,Média,152.07,40,680.21,regular,CE,2024-12-15T02:10:36.358846
000006049,Pessoa Física,Email,2,segunda via do boleto.,Baixa,132.72,8,216.49,bom,SP,2024-11-19T04:01:42.141865
000000953,Pessoa Física,Chat,1,como posso pagar.,Baixa,82.88,23,318.62,bom,BA,2025-06-21T08:41:29.603289
000001393,Pessoa Física,Chat,4,como posso pagar.,Baixa,108.71,7,239.51,regular,RJ,2025-09-03T02:00:00.746926
000008936,Pessoa Física,Email,2,dúvida sobre a fatura.,Baixa,118.67,21,240.83,regular,SP,2025-08-06T20:58:48.024714
000002210,Pessoa Jurídica,Chat,4,proposta de pagamento,Média,113.14,44,135.89,bom,SP,2025-01-28T16:41:24.690901
000002853,Pessoa Jurídica,Telefone,2,parcelamento da dívida.,Média,90.55,2,265.1,ruim,SP,2024-10-10T12:16:17.481754
000008734,Pessoa Física,Chat,3,parcelamento da dívida.,Média,75.61,84,194.02,bom,BA,2025-05-04T18:15:48.873531
000005145,Pessoa Jurídica,Chat,3,parcelamento da dívida. por favor,Média,150.06,36,187.09,bom,PE,2025-09-02T12:21:18.274887
000004253,Pessoa Física,Email,2,ajuda temporária. aguardo uma resposta,Média,72.7,29,138.61,ruim,MA,2025-07-12T08:05:57.170504
000006740,Pessoa Física,Telefone,2,preciso de informação.,Baixa,148.31,24,437.38,bom,PE,2025-08-07T16:14:11.898381
000008124,Pessoa Física,Chat,4,como posso pagar.,Baixa,129.51,30,548.23,bom,RS,2025-08-12T20:36:37.140490
000002905,Premium,Chat,2,proposta de pagamento,Média,85.76,103,404.6,bom,SP,2025-09-18T08:12:56.894942
000001349,Pessoa Física,Telefone,3,consulta de valores.,Baixa,140.41,30,429.84,bom,MG,2025-02-15T22:59:43.619125
000005268,Premium,Telefone,3,segunda via do boleto.,Baixa,91.36,10,238.74,bom,PA,2025-09-11T12:51:40.179683
000001176,Pessoa Física,Chat,2,proposta de pagamento,Média,142.61,20,687.24,ruim,RJ,2025-02-23T23:53:02.723972
000003260,Pessoa Física,Telefone,1,como posso pagar. por favor,Baixa,88.51,10,429.4,bom,PE,2024-11-08T09:48:43.521899
000001382,Pessoa Física,Telefone,1,quero negociar.,Média,124.36,70,219.08,bom,PE,2025-01-20T17:23:21.290114
000008656,Pessoa Física,Telefone,4,renegociar valores. por favor,Média,118.04,46,368.97,ruim,MG,2024-11-21T08:17:27.290895
000004620,Pessoa Física,Email,3,como posso pagar.,Baixa,95.25,18,408.02,bom,PE,2024-11-29T00:49:46.550008
000004564,Pessoa Jurídica,Telefone,1,renegociar valores. o mais rápido possível,Média,107.4,31,460.64,regular,SP,2025-09-14T00:12:29.335062
000007440,Pessoa Física,Telefone,1,ajuda temporária.,Média,94.26,48,352.52,bom,SC,2025-07-18T17:17:23.514994
000009085,Pessoa Física,Chat,4,quero negociar.,Média,166.83,7,481.45,ruim,SP,2025-09-18T09:07:18.286542
000004412,Pessoa Física,Telefone,1,dúvida sobre a fatura.,Baixa,91.98,18,240.49,bom,SP,2025-05-27T14:44:48.259363
000004828,Pessoa Física,Telefone,4,consulta de valores.,Baixa,117.15,14,495.03,regular,PB,2024-12-05T03:12:25.697839
000009550,Pessoa Jurídica,Chat,1,proposta de pagamento.,Média,36.37,30,69.21,ruim,PE,2025-09-21T07:57:21.831461
000003660,Pessoa Física,Chat,4,consulta de valores.,Baixa,92.51,11,251.05,bom,SP,2025-06-12T19:46:20.388973
000008340,Pessoa Física,Email,4,preciso de um desconto.,Média,145.39,26,475.06,ruim,PE,2025-09-06T18:13:21.044818
000001850,Pessoa Física,Email,1,dúvida sobre a fatura.,Baixa,139.0,12,601.47,regular,MG,2025-07-16T22:46:10.233105
000007623,Pessoa Física,Chat,2,preciso de um desconto.,Média,137.46,4,343.02,ruim,RJ,2024-12-23T01:01:55.826963
000002929,Pessoa Física,Telefone,2,quero negociar. por favor,Média,118.85,4,379.68,ruim,AM,2025-05-05T14:47:02.583206
000003108,Pessoa Jurídica,Chat,1,segunda via do boleto.,Baixa,130.07,4,275.31,bom,PR,2024-12-05T13:16:43.094771
000001136,Pessoa Jurídica,Chat,3,dúvida sobre a fatura.,Baixa,177.74,2,772.75,regular,MG,2025-01-22T13:43:37.645623
000002074,Pessoa Física,Telefone,1,proposta de pagamento. aguardo uma resposta,Média,83.03,16,343.92,ruim,DF,2025-06-10T23:24:01.494836
000001796,Pessoa Física,Chat,3,como posso pagar,Baixa,169.05,23,723.6,bom,SP,2024-11-18T00:29:36.725612
000004609,Pessoa Física,Telefone,1,consulta de valores.,Baixa,84.73,4,104.21,regular,SP,2025-06-25T16:56:44.065100
000003509,Pessoa Física,Telefone,2,preciso de informação.,Baixa,132.11,20,389.41,bom,SP,2025-09-14T01:02:13.724852
000000552,Pessoa Física,Redes Sociais,2,consulta de valores.,Baixa,85.74,19,132.33,regular,SP,2025-09-14T00:14:55.374069
000008328,Pessoa Física,Chat,4,segunda via do boleto,Baixa,153.91,5,568.7,regular,RJ,2025-02-22T12:52:20.857822
000001080,Pessoa Física,Telefone,3,segunda via do boleto.,Baixa,68.47,12,153.75,regular,PA,2025-09-30T15:50:08.259945
000008902,Pessoa Jurídica,Chat,3,preciso de um desconto,Média,79.81,29,327.09,ruim,PA,2025-09-20T00:45:32.795094
000007054,Pessoa Física,Telefone,4,preciso de informação.,Baixa,115.51,2,145.62,bom,GO,2024-10-14T08:02:51.669506
000004392,Pessoa Física,Telefone,3,como posso pagar.,Baixa,88.49,5,270.16,regular,PE,2025-05-10T12:34:58.148142
000005857,Pessoa Física,Email,1,renegociar valores.,Média,91.59,108,136.9,bom,PR,2025-09-03T21:47:17.841416
000003771,Pessoa Física,Telefone,1,parcelamento da dívida.,Média,115.28,27,372.54,ruim,BA,2025-09-20T21:20:19.974617
000005809,Pessoa Física,Email,3,ajuda temporária.,Média,69.96,14,239.92,ruim,PB,2024-12-22T04:30:11.101695
000005828,Pessoa Física,Email,3,quero negociar.,Média,125.12,21,356.41,ruim,MG,2025-04-27T01:39:57.811554
000001212,Pessoa Física,Chat,3,renegociar valores. muito obrigado,Média,134.73,38,285.44,ruim,RN,2025-09-09T14:58:07.415614
000000332,Pessoa Jurídica,Telefone,2,quero negociar. o mais rápido possível,Média,57.02,38,64.39,ruim,RJ,2024-11-22T21:02:03.638815
000007017,Pessoa Física,Telefone,4,renegociar valores.,Média,129.77,9,473.46,ruim,SP,2025-07-01T17:41:20.634276
000004261,Governo,Telefone,3,dúvida sobre a fatura. aguardo uma resposta,Baixa,128.13,15,574.25,bom,RJ,2024-12-28T10:24:12.579015
000006556,Pessoa Física,Chat,1,dúvida sobre a fatura.,Baixa,137.47,21,540.89,bom,PR,2025-09-26T07:29:33.422724
000008468,Pessoa Física,Telefone,3,renegociar valores.,Média,124.63,3,569.82,ruim,AL,2024-12-02T19:50:56.888152
000007517,Pessoa Jurídica,Telefone,2,proposta de pagamento.,Média,134.07,58,632.54,regular,SP,2025-08-21T20:41:35.511843
000001089,Pessoa Física,Chat,4,quero negociar.,Média,133.94,13,374.79,ruim,PE,2024-11-03T21:56:21.355008
000007259,Pessoa Física,Telefone,3,consulta de valores. aguardo uma resposta,Baixa,129.82,11,492.27,regular,RJ,2025-06-18T10:48:44.998449
000003512,Pessoa Física,Telefone,2,ajuda temporária. por favor,Média,134.9,48,349.33,bom,PA,2025-05-23T22:24:32.799105
000004219,Pessoa Física,Email,3,proposta de pagamento.,Média,181.65,4,849.79,ruim,PR,2025-08-22T08:22:48.903201
000002220,Pessoa Física,Email,4,consulta de valores. muito obrigado,Baixa,172.39,2,560.59,regular,SC,2025-03-14T15:14:20.920022
000004844,Pessoa Jurídica,Redes Sociais,2,como posso pagar. muito obrigado,Baixa,115.45,24,462.93,regular,ES,2025-01-07T08:58:36.970758
000000906,Pessoa Física,Telefone,2,dúvida sobre a fatura. muito obrigado,Baixa,95.04,11,100.56,regular,MG,2025-01-01T15:36:13.139172
000003358,Pessoa Física,Telefone,2,como posso pagar.,Baixa,170.82,30,564.08,regular,DF,2024-10-27T06:27:39.976665
000002355,Pessoa Jurídica,Telefone,1,preciso de informação.,Baixa,211.53,3,839.34,bom,PR,2025-01-04T05:59:24.903567
000006524,Pessoa Física,Chat,1,ajuda temporária.,Média,118.87,11,241.07,ruim,DF,2024-11-10T23:11:37.389395
000007795,Pessoa Jurídica,Email,2,quero negociar.,Média,139.99,7,148.04,ruim,RJ,2024-10-02T23:25:07.148834
000002027,Pessoa Jurídica,Chat,4,consulta de valores. por favor,Baixa,106.97,28,425.16,bom,MT,2025-02-20T11:13:13.112722
000001765,Pessoa Jurídica,Chat,4,dúvida sobre a fatura.,Baixa,141.24,7,332.24,bom,MG,2025-06-27T01:50:53.490591
000006387,Pessoa Física,Email,4,segunda via do boleto.,Baixa,40.71,13,110.53,bom,GO,2025-09-21T11:06:08.451978
000009500,Pessoa Física,Telefone,1,renegociar valores.,Média,99.02,35,321.64,regular,RO,2025-08-21T13:57:31.866133
000001162,Pessoa Física,Chat,4,proposta de pagamento,Média,148.94,50,214.62,ruim,MT,2025-03-31T14:25:36.294408
000005065,Pessoa Física,Email,3,segunda via do boleto.,Baixa,85.0,26,120.21,bom,PR,2025-02-17T19:53:30.742032
000002509,Pessoa Física,Chat,1,segunda via do boleto.,Baixa,142.18,12,688.65,bom,MG,2025-04-19T22:30:12.197701
000001699,Pessoa Física,Chat,3,ajuda temporária.,Média,140.8,18,331.67,ruim,CE,2024-11-08T13:17:12.279329
000002530,Pessoa Física,Chat,2,segunda via do boleto.,Baixa,143.17,24,289.5,bom,SC,2025-03-26T15:16:33.689621
000000834,Governo,Email,3,renegociar valores.,Média,99.71,42,118.75,bom,RS,2025-08-14T02:14:58.476437
000000257,Pessoa Física,Telefone,3,renegociar valores. o mais rápido possível,Média,150.61,44,255.39,bom,ES,2025-05-28T06:25:52.647207
000009052,Pessoa Física,Email,3,ajuda temporária.,Média,193.94,54,528.21,ruim,SP,2025-06-10T11:40:17.465533
000001971,Pessoa Física,Telefone,3,preciso de um desconto.,Média,100.37,34,237.71,bom,PE,2024-11-30T21:59:46.599928
000006722,Pessoa Física,Telefone,1,preciso de informação. aguardo uma resposta,Baixa,93.2,5,251.48,bom,RS,2024-10-29T10:18:25.747109
000000054,Governo,Telefone,3,ajuda temporária.,Média,113.19,28,431.89,ruim,SP,2025-08-07T09:56:21.427067
000000446,Pessoa Física,Telefone,3,quero negociar. o mais rápido possível,Média,131.01,34,467.33,bom,SP,2025-01-18T05:17:11.248232
000001257,Pessoa Física,Chat,4,parcelamento da dívida. muito obrigado,Média,78.79,42,234.21,regular,PE,2025-01-26T21:59:03.323125
000004397,Pessoa Física,Chat,3,ajuda temporária.,Média,101.82,52,433.68,bom,SP,2025-09-15T02:13:48.642864
000003085,Pessoa Física,Chat,1,dúvida sobre a fatura.,Baixa,178.23,15,789.43,regular,MA,2024-10-29T14:36:40.489644
000002933,Pessoa Física,Chat,2,como posso pagar.,Baixa,165.44,22,556.42,bom,MS,2024-12-03T15:17:22.988069
000004968,Pessoa Física,Telefone,4,como posso pagar.,Baixa,80.37,2,118.17,regular,RJ,2025-02-16T15:21:43.327031
000009065,Pessoa Física,Email,4,dúvida sobre a fatura.,Baixa,194.64,18,510.87,bom,AM,2025-06-26T20:35:38.091844
000005091,Pessoa Física,Telefone,3,consulta de valores. aguardo uma resposta,Baixa,102.8,14,363.69,regular,PE,2025-04-20T07:27:52.362814
000005211,Pessoa Jurídica,Email,4,proposta de pagamento. aguardo uma resposta,Média,133.42,65,166.96,regular,PR,2025-08-26T12:55:45.426365
000003753,Pessoa Física,Chat,3,proposta de pagamento.,Média,121.67,47,131.36,ruim,CE,2024-11-05T12:19:17.976921
000000681,Pessoa Física,Telefone,1,ajuda temporária. o mais rápido possível,Média,156.75,33,751.36,bom,AM,2025-05-07T11:19:03.054588
000004566,Pessoa Física,Telefone,2,como posso pagar.,Baixa,74.26,3,291.12,regular,RO,2025-05-14T15:15:02.609197
000007666,Pessoa Jurídica,Email,3,parcelamento da dívida.,Média,98.92,12,159.5,ruim,PA,2025-03-27T19:44:35.328705
000009411,Pessoa Física,Físico,4,como posso pagar.,Baixa,83.33,25,231.7,bom,GO,2024-10-13T19:52:02.358069
000008773,Pessoa Física,Telefone,2,preciso de informação.,Baixa,77.74,2,137.93,bom,PE,2025-09-11T17:24:39.534168
000009287,Pessoa Física,Chat,4,segunda via do boleto,Baixa,90.28,7,93.99,regular,PE,2024-12-01T18:30:50.915842
000002959,Pessoa Física,Telefone,3,renegociar valores.,Média,86.56,44,222.18,bom,SP,2025-08-23T11:33:07.059277
000008621,Pessoa Física,Telefone,2,consulta de valores. aguardo uma resposta,Baixa,145.65,4,523.4,bom,SP,2024-11-28T21:19:20.425830
000000205,Pessoa Jurídica,Chat,3,dúvida sobre a fatura,Baixa,104.5,3,503.33,regular,BA,2024-11-08T11:47:24.008823
000002998,Pessoa Física,Telefone,4,preciso de um desconto.,Média,109.85,18,448.12,ruim,CE,2024-12-16T13:59:40.128462
000001942,Pessoa Física,Redes Sociais,1,renegociar valores.,Média,46.59,59,89.48,bom,SP,2024-12-10T21:32:41.060873
000005808,Pessoa Física,Telefone,1,quero negociar.,Média,159.53,37,374.07,bom,RS,2025-06-14T03:38:50.322119
000003698,Pessoa Física,Telefone,1,renegociar valores.,Média,51.5,73,158.74,bom,SP,2025-06-23T05:24:03.848035
000004509,Pessoa Física,Telefone,4,ajuda temporária. muito obrigado,Média,123.82,29,218.55,ruim,GO,2025-06-26T02:57:54.983800
000005250,Pessoa Física,Telefone,4,dúvida sobre a fatura.,Baixa,173.15,13,750.05,bom,PA,2025-01-07T09:26:08.296478
000009076,Premium,Telefone,1,renegociar valores. o mais rápido possível,Média,181.49,59,303.43,bom,RS,2025-01-13T07:57:07.306621
000002116,Pessoa Jurídica,Chat,2,parcelamento da dívida.,Média,64.66,12,139.66,ruim,PE,2024-12-28T06:28:46.515333
000001838,Pessoa Física,Telefone,2,como posso pagar.,Baixa,112.83,10,373.51,regular,PI,2024-10-20T15:16:50.572209
000006197,Pessoa Física,Telefone,4,proposta de pagamento. muito obrigado,Média,150.8,13,225.13,ruim,MT,2025-04-29T08:11:06.879338
000007820,Pessoa Física,Telefone,2,proposta de pagamento. o mais rápido possível,Média,103.8,34,363.14,bom,MA,2025-08-05T06:09:04.887825
000002410,Pessoa Jurídica,Telefone,2,renegociar valores.,Média,163.23,50,779.73,bom,MG,2024-11-27T14:31:15.015802
000006558,Pessoa Física,Email,1,proposta de pagamento. o mais rápido possível,Média,38.49,10,144.96,ruim,SP,2025-02-11T07:07:41.008334
000009079,Pessoa Jurídica,Chat,3,parcelamento da dívida.,Média,126.08,14,535.98,ruim,MG,2025-03-07T16:28:46.311142
000004750,Pessoa Física,Chat,2,parcelamento da dívida,Média,137.95,46,379.91,regular,GO,2025-01-18T02:08:17.199972
000005574,Pessoa Física,Email,3,preciso de um desconto. muito obrigado,Média,74.16,2,182.53,ruim,CE,2025-06-01T07:17:55.498854
000007359,Pessoa Jurídica,Telefone,1,parcelamento da dívida.,Média,152.03,31,351.86,ruim,SC,2025-05-09T17:32:00.960631
000004967,Pessoa Física,Email,2,segunda via do boleto.,Baixa,79.02,13,287.78,regular,SP,2024-12-14T10:29:22.973466
000006765,Pessoa Jurídica,Telefone,2,quero negociar.,Média,184.94,11,568.53,ruim,SP,2024-10-11T21:46:52.461311
000000739,Pessoa Física,Chat,2,segunda via do boleto,Baixa,107.09,13,309.41,bom,PA,2024-12-03T21:39:44.373533
000006330,Pessoa Jurídica,Telefone,3,preciso de um desconto. aguardo uma resposta,Média,113.62,12,159.41,ruim,MG,2025-01-17T02:08:15.395790
